estado,2019,2020,2021
Aguascalientes,"305,134","306,745","318,347"
Baja California,"806,895","804,612","923,218"
Baja California Sur,"217,480","171,019","212,813"
Campeche,"624,206","457,689","483,398"
Coahuila de Zaragoza,"848,957","793,707","901,801"
Colima,"146,795","139,877","145,781"
Chiapas,"333,688","340,920","379,227"
Chihuahua,"796,924","788,489","878,625"
Ciudad de México,"3,693,373","3,472,435","3,701,686"
                    Durango,"274,867","267,589","301,207"
                    Guanajuato,"967,930","948,128","1,029,274"
                    Guerrero,"316,151","305,149","330,937"
                    Hidalgo,"380,780","356,339","388,748"
                    Jalisco,"1,646,724","1,596,001","1,759,742"
                    México,"2,036,038","1,994,300","2,212,972"
                    Michoacán de Ocampo,"571,432","560,008","596,442"
                    Morelos,"254,810","236,452","258,640"
                    Nayarit,"163,436","148,048","173,938"
                    Nuevo León,"1,839,422","1,765,681","2,016,768"
                    Oaxaca,"349,849","350,955","394,292"
                    Puebla,"761,857","714,239","759,807"
                    Querétaro,"533,452","497,306","554,928"
                    Quintana Roo,"373,507","296,755","353,445"
                    San Luis Potosí,"520,596","513,539","562,564"
                    Sinaloa,"515,996","505,133","561,553"
                    Sonora,"776,374","786,624","891,434"
                    Tabasco,"522,225","506,033","592,959"
                    Tamaulipas,"709,681","674,669","717,585"
                    Tlaxcala,"135,474","123,648","136,257"
                    Veracruz de Ignacio de la Llave,"1,039,168","991,610","1,075,630"
                    Yucatán,"347,187","331,983","376,869"
                    Zacatecas,"205,622","212,884","234,552"
