estado,Solar,Eolica,Hidroelectrica
Aguascalientes,1950.8,1.6,si
Baja California,"1,965",26.3,si
Baja California Sur,"1,894",21.8,si
Campeche,"1,708",2.2,si
CDMX,"1,810",,no
Chiapas,"1,744",7.8,si
Chihuahua,"1,983",12.2,no
Coahuila,"1,708",16.1,no
Colima,"1,744",7,si
Durango,"1,939",3,si
Guanajuato,"1,883",15.2,no
Guerrero,"1,821",6.3,no
Hidalgo,"1,782",2.5,si
Jalisco,"1,821",20,no
México,"1,708",3.5,no
Michoacán,"1,761",7.1,no
Morelos,"1,881",4.8,no
Nayarit,"1,751",18,si
Nuevo Leon,"1,562",28.8,si
Oaxaca,"1,798",10,si
Puebla,"1,918",4.8,no
Querétaro,"1,853",1.3,no
Quintana Roo,"1,585",4.8,si
San Luis Potosi,"1,841",12.4,si
Sinaloa,"1,752",,si
Sonora,"1,884",5.4,no
Tabasco,"1,631",9.7,si
Tamaulipas,"1,714",19.8,si
Tlaxcala,"1,893",5.3,si
Veracruz,"1,500",5.4,si
Yucatán,"1,630",5.5,si
Zacatecas,"1,941",,si
